Network,Station,Latitude,Longitude,Elevation
7P,PC31,31.3272,-103.6425,831.0
7P,PC34,31.4542,-103.5952,815.0
7P,PC35,31.4772,-103.6585,853.0
7P,PC36,31.50065,-103.4364,793.0
7P,PC37,31.4898,-103.4216,790.0
7P,PC39,31.4397,-103.5684,805.0
7P,PC41,31.3728,-103.4072,788.0
7P,PC42,31.3244,-103.5441,806.0
7P,PC43,31.2648,-103.5589,811.0
7P,PC44,31.3234,-103.4279,784.0
7P,PC45,31.2846,-103.3892,797.0
7P,PC50,31.4484,-103.6702,838.0
7P,PC51,31.4412,-103.6121,819.0
7P,PC53,31.4616,-103.6937,850.0
7P,PC54,31.4321,-103.7049,863.0
7P,PC60,31.09375,-103.60215,871.0
7P,PC61,31.2076,-103.57362,823.0
7P,PC62,31.21598,-103.32845,848.0
7P,PC63,31.12061,-103.25683,854.0
7P,PC64,31.05044,-103.15196,876.0
7P,PC65,31.52406,-103.36378,795.0
7P,PC66,31.56766,-103.3192,834.0
7P,PC67,31.14343,-103.39885,849.0
7P,PC68,31.18493,-103.36806,845.0
7P,PC69,31.11463,-103.67102,880.0
7P,PC70,31.23419,-103.75112,916.0
7P,PC71,31.06044,-103.73147,938.0
7P,PC73,31.6798,-103.60852,814.0
7P,PC74,31.57113,-103.52817,800.0
7P,PC75,31.52492,-103.52578,794.0
7P,PC76,31.47944,-103.49508,788.0
7P,PC80,31.50604,-103.72968,871.0
7P,PC81,31.28466,-103.38931,800.0
7P,PC82,31.28768,-103.2203,812.0
7P,PC83,31.00468,-103.65938,924.0
7P,PC84,31.55586,-103.84669,960.0
8A,1001,33.993332,-106.894058,1412.1
8A,1002,33.993271,-106.894363,1412.3
8A,1003,33.992519,-106.893913,1412.4
8A,2001,34.054047,-106.883873,1398.7
8A,2002,34.054039,-106.88443,1399.8
8A,3001,34.037052,-106.910408,1462.0
8A,3002,34.037273,-106.909943,1460.3
8L,VLS01,35.977035,-106.547925,2629.0
8L,VLS02,35.850935,-106.451916,2637.0
8L,VLS03,35.89386,-106.5666,2858.0
9D,1002,34.305466,-106.938232,1486.5
9D,1003,34.272987,-107.063019,1766.4
9D,1004,34.268093,-107.060791,1775.9
9D,1005,34.350864,-106.992233,1550.4
9D,1006,34.265446,-107.057945,1787.3
9D,1007,34.284199,-107.063599,1756.3
9D,1008,34.266247,-107.059013,1784.6
9D,1009,34.252403,-107.001945,1666.8
9D,1010,34.358475,-106.987167,1570.4
9D,1011,34.346462,-106.99382,1545.2
9D,1012,34.26955,-107.061058,1772.6
9D,1013,34.350098,-106.992287,1549.9
9D,1014,34.254288,-107.007904,1687.6
9D,1015,34.276524,-107.064804,1755.0
9D,1016,34.270798,-107.061363,1768.8
9D,1017,34.252518,-106.998466,1652.6
9D,1018,34.279423,-107.06263,1762.0
9D,1019,34.274727,-107.064377,1758.8
9D,1020,34.349697,-106.992332,1548.9
9D,1021,34.280598,-107.062706,1760.7
9D,1022,34.28231,-107.062904,1759.0
9D,1023,34.254192,-107.0056,1673.7
9D,1024,34.251881,-107.00016,1662.4
9D,1025,34.254715,-107.009598,1689.8
9D,1026,34.289593,-106.922844,1495.2
9D,1027,34.253422,-107.003838,1670.9
9D,1028,34.277992,-107.063148,1762.2
9D,1029,34.252876,-106.996338,1648.1
9D,1030,34.250805,-106.956627,1517.7
9D,1031,34.264977,-106.925659,1449.6
9D,1032,34.253429,-106.994392,1642.8
9D,1033,34.28738,-106.922752,1491.9
9D,1034,34.253914,-106.982132,1606.7
9D,1035,34.253658,-106.992119,1634.8
9D,1036,34.254387,-106.983902,1611.2
9D,1037,34.252666,-106.971336,1580.6
9D,1038,34.254047,-106.990021,1627.9
9D,1039,34.253246,-106.976128,1590.4
9D,1040,34.254288,-106.986664,1619.0
9D,1041,34.253696,-106.979225,1598.6
9D,1042,34.292892,-106.92263,1501.3
9D,1043,34.285133,-106.922768,1492.8
9D,1044,34.253212,-106.974205,1587.8
9D,1045,34.251686,-106.9674,1554.3
9D,1046,34.275982,-106.923019,1465.1
9D,1047,34.250759,-106.964844,1545.2
9D,1048,34.293289,-106.914352,1489.3
9D,1049,34.250786,-106.926826,1444.7
9D,1050,34.251575,-106.96933,1564.9
9D,1051,34.280247,-106.922791,1477.4
9D,1052,34.282623,-106.922813,1487.1
9D,1053,34.251591,-106.954285,1513.4
9D,1054,34.249763,-106.958466,1524.4
9D,1055,34.271805,-106.923859,1458.8
9D,1056,34.251133,-106.95108,1504.2
9D,1057,34.251087,-106.947319,1494.8
9D,1058,34.249893,-106.961586,1534.6
9D,1059,34.251846,-106.936302,1467.0
9D,1060,34.252377,-106.942703,1482.2
9D,1061,34.252178,-106.940987,1478.2
9D,1062,34.251137,-106.933807,1461.0
9D,1063,34.25185,-106.945282,1489.3
9D,1064,34.395657,-106.876595,1484.2
9D,1065,34.250912,-106.929077,1448.8
9D,1066,34.302429,-106.92421,1476.3
9D,1067,34.376476,-106.898125,1523.7
9D,1068,34.252132,-106.938736,1473.0
9D,1069,34.398884,-106.86924,1464.6
9D,1070,34.268402,-106.924744,1455.0
9D,1071,34.250835,-106.931747,1456.4
9D,1072,34.270615,-106.924164,1458.2
9D,1073,34.36882,-106.899704,1526.2
9D,1074,34.387337,-106.894341,1510.2
9D,1075,34.278004,-106.923721,1472.6
9D,1076,34.397133,-106.873245,1478.0
9D,1077,34.390919,-106.887627,1508.4
9D,1078,34.252613,-106.926735,1444.9
9D,1079,34.257275,-106.926697,1449.3
9D,1080,34.392185,-106.884682,1501.1
9D,1081,34.260406,-106.926849,1451.6
9D,1082,34.263271,-106.926094,1447.1
9D,1083,34.284107,-106.922752,1488.9
9D,1084,34.267048,-106.925102,1450.7
9D,1085,34.389305,-106.891357,1506.0
9D,1086,34.255116,-106.926704,1448.3
9D,1087,34.25948,-106.927094,1450.4
9D,1088,34.295849,-106.920929,1502.6
9D,1089,34.302223,-106.928116,1482.4
9D,1090,34.293961,-106.916672,1493.8
9D,1091,34.37859,-106.897514,1519.2
9D,1092,34.294743,-106.919098,1499.7
9D,1093,34.292625,-106.91217,1486.6
9D,1094,34.380756,-106.896873,1515.9
9D,1095,34.291988,-106.909988,1484.4
9D,1096,34.296322,-106.922867,1506.4
9D,1097,34.290882,-106.906181,1483.4
9D,1098,34.294773,-106.922844,1505.5
9D,1099,34.291611,-106.908615,1484.5
9D,1100,34.303257,-106.926292,1476.0
9D,1101,34.34087,-106.899193,1522.2
9D,1102,34.288967,-106.900307,1467.1
9D,1103,34.290516,-106.903709,1481.9
9D,1104,34.289536,-106.902283,1478.8
9D,1105,34.298233,-106.922646,1492.2
9D,1106,34.374939,-106.898506,1527.0
9D,1107,34.304684,-106.937881,1490.2
9D,1108,34.29108,-106.922852,1494.8
9D,1109,34.292027,-106.901047,1465.9
9D,1110,34.290531,-106.900253,1465.9
9D,1111,34.301399,-106.932335,1493.1
9D,1112,34.302574,-106.935944,1498.7
9D,1113,34.293106,-106.901611,1465.0
9D,1114,34.294277,-106.902031,1462.4
9D,1115,34.299503,-106.923523,1486.4
9D,1116,34.419529,-106.67849,1562.9
9D,1117,34.300621,-106.92382,1480.0
9D,1118,34.420845,-106.678841,1563.2
9D,1119,34.421963,-106.679138,1564.4
9D,1120,34.407368,-106.676132,1565.7
9D,1121,34.417877,-106.678505,1560.9
9D,1122,34.377689,-106.678406,1585.4
9D,1123,34.404346,-106.59243,1641.1
9D,1124,34.414177,-106.678459,1557.1
9D,1125,34.416706,-106.678482,1558.6
9D,1126,34.412582,-106.678459,1561.7
9D,1127,34.415527,-106.678459,1555.5
9D,1128,34.410896,-106.678452,1567.2
9D,1129,34.414734,-106.991226,1681.2
9D,1130,34.40834,-106.67849,1569.4
9D,1131,34.409718,-106.678436,1570.2
9D,1132,34.407394,-106.677551,1566.3
9D,1133,34.302143,-106.933571,1493.3
9D,1134,34.405087,-106.678253,1565.2
9D,1135,34.352722,-106.990784,1553.2
9D,1136,34.405365,-106.595116,1629.2
9D,1137,34.40453,-106.676926,1565.4
9D,1138,34.39819,-107.005119,1674.8
9D,1139,34.40358,-106.678246,1565.4
9D,1140,34.303768,-106.936928,1496.3
9D,1141,34.395786,-106.678345,1567.6
9D,1142,34.402115,-106.678261,1561.6
9D,1143,34.3983,-106.678329,1566.2
9D,1144,34.406357,-106.60154,1612.9
9D,1145,34.400265,-106.678314,1563.3
9D,1146,34.406528,-106.678246,1566.3
9D,1147,34.390041,-106.678375,1573.1
9D,1148,34.382931,-106.678322,1579.5
9D,1149,34.393299,-106.678383,1571.0
9D,1150,34.386681,-106.678391,1576.3
9D,1151,34.379845,-106.678421,1582.8
9D,1152,34.373459,-106.680145,1587.3
9D,1153,34.36858,-106.682739,1590.7
9D,1154,34.363323,-106.685509,1595.1
9D,1155,34.357449,-106.688515,1602.1
9D,1156,34.353188,-106.690727,1607.2
9D,1157,34.348129,-106.693451,1612.3
9D,1158,34.341328,-106.697021,1616.0
9D,1159,34.335213,-106.700226,1621.6
9D,1160,34.329098,-106.703468,1627.4
9D,1161,34.323833,-106.706223,1638.5
9D,1162,34.318329,-106.709206,1608.7
9D,1163,34.313599,-106.711517,1593.2
9D,1164,34.308594,-106.714378,1599.8
9D,1165,34.291466,-106.725128,1590.2
9D,1166,34.299217,-106.716988,1604.8
9D,1167,34.295101,-106.718002,1608.5
9D,1168,34.290352,-106.720711,1599.7
9D,1169,34.286728,-106.723122,1597.9
9D,1170,34.283871,-106.726692,1592.0
9D,1171,34.280193,-106.730019,1590.6
9D,1172,34.27729,-106.73291,1584.5
9D,1173,34.27441,-106.7351,1579.6
9D,1175,34.270695,-106.739082,1581.7
9D,1176,34.271084,-106.743164,1577.4
9D,1177,34.271278,-106.747543,1575.1
9D,1178,34.273567,-106.923409,1461.4
9D,1179,34.271481,-106.757744,1568.6
9D,1180,34.271454,-106.762932,1570.9
9D,1181,34.271507,-106.76725,1574.4
9D,1182,34.271511,-106.772041,1576.5
9D,1183,34.269695,-106.775925,1572.2
9D,1184,34.266747,-106.777237,1575.6
9D,1185,34.263847,-106.777374,1583.0
9D,1186,34.261501,-106.780869,1578.8
9D,1187,34.258308,-106.781998,1586.0
9D,1188,34.254902,-106.783546,1587.3
9D,1189,34.250771,-106.78521,1581.5
9D,1190,34.247662,-106.786461,1578.0
9D,1191,34.243149,-106.788681,1569.5
9D,1192,34.238239,-106.790756,1564.8
9D,1193,34.23457,-106.792473,1562.8
9D,1194,34.230606,-106.794365,1555.8
9D,1195,34.25618,-106.673164,1687.7
9D,1196,34.408772,-106.9869,1695.2
9D,1197,34.223591,-106.796867,1553.8
9D,1198,34.220207,-106.797852,1547.0
9D,1199,34.217785,-106.797455,1540.8
9D,1200,34.215027,-106.79744,1538.6
9D,1201,34.212288,-106.797539,1536.3
9D,1202,34.214504,-106.793541,1538.9
9D,1203,34.216702,-106.790321,1541.4
9D,1204,34.219128,-106.787308,1546.1
9D,1205,34.220612,-106.784355,1553.1
9D,1206,34.222008,-106.780502,1559.7
9D,1207,34.220974,-106.777328,1564.8
9D,1208,34.219696,-106.774734,1570.2
9D,1209,34.294861,-107.061058,1752.7
9D,1210,34.218864,-106.695831,1711.4
9D,1211,34.215973,-106.770119,1572.4
9D,1212,34.213596,-106.767891,1574.9
9D,1213,34.406139,-106.991951,1670.1
9D,1214,34.213634,-106.762321,1588.5
9D,1215,34.212059,-106.760361,1592.5
9D,1216,34.211674,-106.757629,1592.9
9D,1217,34.221184,-106.771019,1572.1
9D,1218,34.224052,-106.769424,1577.0
9D,1219,34.22739,-106.767365,1581.8
9D,1220,34.231178,-106.765038,1586.8
